id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
3,174842.17920999997,209.95650003897026,1,6,0.4753330520278445,0.2910377296755616,1.3944687554105835,0.9212450334805442,3d gaze,-12.914892755981231,87.51768890684008,409.0206291851096,174842.17920999997 174842.187014 174842.195171 174842.23016749998 174842.2338735 174842.2356885 174842.2393525 174842.2429625 174842.24728999997 174842.25154149998 174842.25528249997 174842.25894749997 174842.26296499997 174842.26703699998 174842.27100449998 174842.274974 174842.279139 174842.2831785 174842.28706849998 174842.29095449997 174842.29508799998 174842.29915699997 174842.30305399996 174842.30693299999 174842.31093549996 174842.3149155 174842.31895349998 174842.322987 174842.32703 174842.33107299998 174842.33502349997 174842.33897399998 174842.34292149998 174842.34686899997 174842.35100249999 174842.3550435 174842.359102 174842.36306799998 174842.367006 174842.371024 174842.37500499998 174842.38111999998 174842.38533199998 174842.3891665
4,174842.40113749998,190.02650000038557,6,12,0.4525869445944193,0.2813381174925604,1.3575253460999273,0.9080618808620828,3d gaze,-25.355801437406488,93.62842798443317,418.24191726001254,174842.40113749998 174842.40515049998 174842.40905699998 174842.413183 174842.41712149998 174842.42097699997 174842.4249055 174842.428956 174842.43304699997 174842.436972 174842.4411295 174842.4452205 174842.449137 174842.45314449997 174842.4569645 174842.46084899997 174842.4648995 174842.4689105 174842.47493849997 174842.47902899998 174842.48308099998 174842.487149 174842.49111399997 174842.495054 174842.49907999998 174842.5031035 174842.50710549997 174842.511033 174842.515098 174842.51916949998 174842.523232 174842.527216 174842.53162799997 174842.53603949997 174842.53948449998 174842.54292599997 174842.54702 174842.55112249998 174842.555055 174842.5589755 174842.5642535 174842.569531 174842.57225899998 174842.57501099998 174842.57916099997 174842.5832385 174842.58722549997 174842.59116399998
5,174842.6110195,211.8909999844618,12,19,0.5084430256430096,0.3035911434239179,1.4741626448463512,0.9346313125576846,3d gaze,5.141866385863468,93.39274564658533,464.3519038934041,174842.6110195 174842.615118 174842.61903049998 174842.62289249996 174842.62691199998 174842.63092899998 174842.634906 174842.63886799998 174842.6428805 174842.646881 174842.6509745 174842.6550675 174842.658944 174842.66282 174842.666982 174842.67114299999 174842.6750865 174842.67896599998 174842.68302199998 174842.68701499997 174842.69123899998 174842.6954635 174842.7014205 174842.70737699998 174842.7113115 174842.715358 174842.7175285 174842.720044 174842.723803 174842.72707249998 174842.73118449998 174842.735264 174842.73947049998 174842.743677 174842.7473305 174842.7510175 174842.75521049998 174842.75936899998 174842.763617 174842.76827449998 174842.7720775 174842.77544549998 174842.779423 174842.78333049998 174842.78733249998 174842.79124549998 174842.79510549997 174842.7989235 174842.80291149998 174842.80689349998 174842.81101199996 174842.81508449998 174842.81901849998 174842.8229105
6,174842.82689099998,156.41300001880154,19,24,0.49673431815791513,0.3061017803964135,1.1886283507639737,0.9373448762923595,3d gaze,-1.8520320914540604,87.7250099938792,441.92338675491106,174842.82689099998 174842.83087099998 174842.83487599998 174842.84088099998 174842.8448965 174842.84900349998 174842.853037 174842.8569235 174842.86086999997 174842.864926 174842.8690205 174842.87298499997 174842.8769335 174842.88095249998 174842.884976 174842.889176 174842.8935235 174842.897812 174842.90366299998 174842.90754299998 174842.90971349998 174842.91378849998 174842.917692 174842.92146699998 174842.9252025 174842.928991 174842.93309749998 174842.93708049998 174842.94290149998 174842.94687599997 174842.95093449997 174842.954993 174842.959165 174842.9633295 174842.96753999998 174842.97224399998 174842.97611249998 174842.979474 174842.983304
7,174842.98712949996,103.81750002852641,24,27,0.5062651973985054,0.2847253330687921,1.4391250115338614,0.8987674486018474,3d gaze,3.567093131081279,98.07730172838458,444.933029719234,174842.98712949996 174842.99116449998 174842.995198 174842.9990675 174843.00293349999 174843.0069105 174843.01094399998 174843.01505649998 174843.0191635 174843.02307299996 174843.02692799998 174843.03099299996 174843.03508049998 174843.039053 174843.042953 174843.0476865 174843.052372 174843.05561699998 174843.05885699997 174843.0631425 174843.06742449998 174843.0711635 174843.074968 174843.079083 174843.0831845 174843.0870945 174843.090947
8,174843.094943,218.02249999018386,27,33,0.4821628610002384,0.2954835630050367,1.3671906858340823,0.9199334841190083,3d gaze,-10.333498978590187,94.68299497446337,452.1107721173665,174843.094943 174843.098935 174843.10293 174843.1069135 174843.11091499997 174843.11490749998 174843.1190675 174843.1232265 174843.12709599998 174843.131001 174843.13494299998 174843.13886999997 174843.1428645 174843.146838 174843.150899 174843.15495999999 174843.1589095 174843.16285499997 174843.16711649997 174843.17138999997 174843.17545799998 174843.1795335 174843.18373699998 174843.188088 174843.19204599998 174843.19581299997 174843.200601 174843.20536899997 174843.20824699997 174843.21105549997 174843.21505 174843.218974 174843.22294 174843.226905 174843.2309665 174843.2350325 174843.23902799998 174843.2429505 174843.24703949998 174843.25102199998 174843.254979 174843.258898 174843.262884 174843.26687 174843.27085899998 174843.27483449999 174843.27894999998 174843.28301199997 174843.28698049998 174843.29090849997 174843.29489149997 174843.2988735 174843.30295649997 174843.3069485 174843.3129655
9,174843.31690849998,218.09350000694394,34,40,0.48114887275442036,0.3048290622745194,0.7933731995518938,0.9259615403904832,3d gaze,-11.523132458974423,95.27044394743551,476.8108603755195,174843.31690849998 174843.320893 174843.3248935 174843.32886449998 174843.3328635 174843.33690149998 174843.34089449997 174843.3448955 174843.3488885 174843.352892 174843.35694099998 174843.3609275 174843.3649195 174843.369174 174843.37316299998 174843.3769585 174843.3813225 174843.3852815 174843.38891799998 174843.39316849998 174843.39756399998 174843.40186749998 174843.40602449997 174843.41161249997 174843.415285 174843.41920349997 174843.4230825 174843.427145 174843.4311305 174843.435274 174843.43938999998 174843.44345049997 174843.44751099998 174843.451359 174843.45529999997 174843.45921849998 174843.46305949998 174843.46702499996 174843.471007 174843.4749985 174843.4789615 174843.483005 174843.4870045 174843.491028 174843.4950115 174843.4990375 174843.50306249998 174843.50706799998 174843.51101649998 174843.51502949998 174843.51902849998 174843.52297999998 174843.52688899997 174843.53096499998 174843.535002
10,174843.5508495,216.89749998040497,40,47,0.45327301478748566,0.3177458633409159,1.492677257292362,0.9034490859948346,3d gaze,-30.30255650693908,94.58062914401843,506.76658940441126,174843.5508495 174843.55490999998 174843.5589685 174843.56293049996 174843.56689199997 174843.57100549998 174843.57504099997 174843.579068 174843.5830195 174843.5871825 174843.5914555 174843.59557399998 174843.5995825 174843.603574 174843.607564 174843.61138949997 174843.6152165 174843.619977 174843.62465249997 174843.62784849998 174843.63096649997 174843.63497899997 174843.63898699998 174843.64294499997 174843.64690249998 174843.65093299997 174843.65502799998 174843.65899149998 174843.662939 174843.6669995 174843.6709945 174843.674926 174843.6788335 174843.68290199997 174843.6869635 174843.6909025 174843.69484199997 174843.69898 174843.703117 174843.70696649997 174843.7108175 174843.7148825 174843.71894399996 174843.722949 174843.72695699998 174843.73092099998 174843.73487999997 174843.73893399996 174843.743052 174843.74704549997 174843.75101149996 174843.75520099996 174843.7593565 174843.763553 174843.76774699998
11,174843.7720295,219.1574999887962,47,54,0.4615378211765591,0.3041506878982533,1.2872329593592426,0.9065285803228545,3d gaze,-24.924601062383594,101.5154114413579,506.20246451312147,174843.7720295 174843.77616149996 174843.7817545 174843.7866235 174843.789369 174843.79330849997 174843.797066 174843.80103799998 174843.805011 174843.80891949998 174843.8129445 174843.81709149998 174843.82128749997 174843.82523699998 174843.828968 174843.8329585 174843.83698249998 174843.84094499997 174843.84492199996 174843.848962 174843.8529475 174843.856944 174843.860957 174843.864916 174843.868939 174843.87294799997 174843.878967 174843.8830415 174843.88701449998 174843.89091949997 174843.89491049998 174843.89889799998 174843.9029105 174843.9069095 174843.910932 174843.91496149998 174843.91902049998 174843.922986 174843.9269315 174843.9308185 174843.934879 174843.9389125 174843.94296949997 174843.946964 174843.950977 174843.95490799999 174843.95924599998 174843.9634905 174843.968008 174843.97231649997 174843.975934 174843.9794735 174843.9834405 174843.98734999998 174843.99118699998
12,174844.05499749997,217.96249999897555,55,62,0.48358162881471606,0.33174286559089106,1.0900445237457803,0.9285493721739139,3d gaze,-11.290550203070012,92.5288421850914,537.1874058091686,174844.05499749997 174844.058917 174844.0632325 174844.067461 174844.07189149997 174844.076467 174844.0819315 174844.08729399997 174844.09079699998 174844.094292 174844.09691799997 174844.09954849997 174844.1033375 174844.107105 174844.11112899997 174844.1150615 174844.11901749996 174844.12292899998 174844.12695749998 174844.1309315 174844.13493099998 174844.13890999998 174844.142918 174844.14691999997 174844.1510425 174844.15516049997 174844.15902849997 174844.16289049998 174844.1669555 174844.17096949997 174844.174954 174844.178899 174844.182935 174844.186964 174844.19093399998 174844.19490399997 174844.1989305 174844.202956 174844.2070155 174844.211002 174844.215023 174844.21896799997 174844.222964 174844.22695799998 174844.23098249998 174844.2350085 174844.2390065 174844.24293449998 174844.2489445 174844.25289449998 174844.256888 174844.2608855 174844.264924 174844.2689745 174844.27295999997
